ID,Name,Count
19309151,NeuroTechLDN,1
19641415,fintechmaximisers,1
20069448,vr-film,1
16023052,Tech-Chess,1
19807308,amazonappdev,1
11975522,SHORTS-ON-TAP,1
218194,phplondon,2
23175694,The-Copyright-Hub,1
22148317,Grosvenor-Networking,1
14061362,Big-Data-Behavioral-Analytics-London,3
20175967,London-Startup-Founders,1
16598112,Korea-Meetup,1
19317857,London-Startup-Idea-to-IPO,1
9923682,Data-Analytics-Innovation-Entrepreneurship,3
21218491,GovTech,1
20345956,Open-Innovation-Society,1
3516262,Bikers-Delight-Fun-cycle-tours,1
4331892,frog-valley,1
9532522,Docker-London,1
21599342,START-UP-LOVERS,1
7992432,centre-culturel-aft-com,1
13227122,Google-Cloud-Platform-App-Engine-Compute-Engine-BigQuery,2
18445427,Startup-Entrepreneurs-Angels-and-Mentors,1
3183732,Data-Science-London,9
21818486,amazic,1
19147625,The-Dailies-UK,1
18754680,London-Scrum-Meetup,1
22652025,Panel-Discussion-Networking-Events-for-Black-Professionals,2
22496378,The-JS-Roundabout,1
20581500,London-Blockchain-Ethereum,1
16219262,London-Dev-Community,2
18461823,49-spadina-techs-connect,1
6787822,London-Artificial-Intelligence-Futurists,7
22353028,Jae-Yeon-Kim,1
18594949,NextMoneyLDN,1
9581702,General-Assembly-Meetup,4
18989998,Dsantos-Dance-UK-Salsa-Kizomba-Bachata-Club,1
255112,indielondon,1
19764361,Women-in-Technology-Network,1
3648652,BigData-Debate,2
18464962,ReactJS-Paris,1
19439059,Ealing-Maths-Science-Study-Group,1
22663021,theislandretreat,1
3040402,We-Shoot-People-Street-Photography,1
23008406,Art-Fans-in-London,1
22060185,The-DevSecOps-Think-Tank,1
6315162,Predictive-Analytics-London-Meetup,4
7115932,Big-Data-Silicon-Valley,1
11470362,build-business-networking-london,1
1594526,LondonR,7
20214945,Apex-Users-Group-London,1
19751434,extra-language,1
22157004,The-100-Startup-London,1
21800102,Artificial-Intelligence-London,2
21755048,fintechbunker,1
21789212,Byte-Academy-FinTech-Python-Blockchain-Education,2
20675755,AFlondon,1
7439532,Reading-Cassandra-Users,1
21530482,London-Marketing-Technology-Group,1
18714141,London-Streams,1
23256241,meetup-group-rRcAwYaO,1
11398322,papers-we-love,1
21664949,FinTechEcosystem-London,1
20212173,London-Data-Visualisation-Meetup,1
22109371,Science-Entrepreneur-Club,1
22387232,LogiAnalytics-User-Group,2
20352196,SheCanCodeLDN,1
21693637,DEVUX-mashup,2
13958342,Python-for-Quant-Finance-London,5
20235464,AndHack,2
1350857,skillsmatter,2
18408311,London-Live-Black-Music-Gigs-Concert-Meetup,1
18535628,London-Cambridge-Spark,5
10070012,NodeBots-of-London,1
22568907,London-Retail-Technology-Meetup,1
19826893,Luton-Web-Development-Meetup,1
22660304,London-Alternative-Investment-Meetup,1
20180856,VRTuesday,1
23538308,Inspiring-Women-in-Technology,1
1763875,HackerNest,1
18618198,Igbo-Singles,1
19723478,ModernAfro,2
18676952,Espresso-Martini-Fintech-Innovation-Meetup,1
19803353,london-ethereum-codeup,1
13722842,Spark-London,3
1017051,travel-1067,1
19743964,London-Conscious-Design-Engineering-Meetup,1
20237533,Touch-Surgery,1
18717919,software-circus-LDN,1
22213857,Computer-Science-Noobs,2
19303654,London-Algorithmic-Trading,5
19219687,Banking-and-Fintech-APIs-Meetup,1
19115240,London-Spark-Coding-Dojo,3
18788220,London-singles-travel-club,1
6980842,Paris-Live-Music-Addicts-Club,1
23782951,London-Automated-Decision-Intelligence-Meetup,1
19688685,Business-Funding-Workshops,1
18537728,French-conversation-advanced-level,1
9516272,Big-Data-Developers-in-London,15
18445553,Meetup-Mashup-London,1
19339436,London-Engineers-Artists-Meetup,1
18552053,YouHadOneFinTechJob,1
18523382,Black-Entrepreneurs-changing-the-game-in-London,2
3554552,UK-Hackathons-and-Jams,7
21307604,speakyourtruth,1
20297994,CyberSecurity-Talks,1
23721211,Blockgeeks-Blockchain-Developers,1
18738286,Massive-Small,1
7535872,Growth-Hacking-Toronto,1
4312322,islington-london-communicators-toastmasters,1
1651926,UK-Higher-Performance-Computing,1
251143,asiancanadian-18,1
19843266,Paris-Bots-Meetup,1
24112684,meetup-group-iTtPpPjk,1
18769163,Reading-Football,1
19200386,Fintech-Business-Development,1
17681682,fablablondon,1
21845267,London-African-Supper-Club,1
24583444,The-Blockhchain-and-the-gambling-tech-sector-meetup,1
19089505,The-Audio-Analytic-Tech-Talks,1
21839127,Pitch-Your-Business-Idea-and-Connect-With-Funders,2
19523460,London-Big-Data-Analytics-Meet-up,3
18560283,Paris-AI-Robotics-IoT-Meetup,1
19086620,Madrid-Micropreneurs,1
22103498,London-Python-coding-for-medics,1
19363104,LanZZZ-London,1
19537185,City-of-London-Blockchain-Investors-Meetup-Group,2
19828002,DigitalOceanLondon,1
20397617,Bots-and-Artificial-Intelligence,1
23735592,meetup-group-XErzmxks,1
3356892,opentoronto,1
5756202,Starbucks-Bible-Study-Near-You,1
18623787,FinTech-Toronto,1
1748530,london-silicon-roundabout,4
